province,price
Sumatera Utara,16200.0
Sumatera Utara,16200.0
Sumatera Utara,16200.0
Sumatera Utara,16350.0
Sumatera Utara,16200.0
Sumatera Utara,16200.0
Sumatera Utara,16200.0
Sumatera Utara,16200.0
Sumatera Utara,16200.0
Sumatera Utara,16200.0
Sumatera Utara,16400.0
Sumatera Utara,16400.0
Sumatera Utara,16400.0
Sumatera Utara,16400.0
Sumatera Utara,16400.0
Sumatera Utara,16400.0
Sumatera Utara,16400.0
Sumatera Utara,16400.0
Sumatera Utara,16400.0
Sumatera Utara,16400.0
Sumatera Utara,16400.0
Sumatera Utara,16400.0
Sumatera Utara,14650.0
Sumatera Utara,14650.0
Sumatera Utara,14650.0
Sumatera Utara,14650.0
Sumatera Utara,14700.0
Sumatera Utara,14700.0
Sumatera Utara,14700.0
Sumatera Utara,14700.0
Sumatera Utara,14700.0
Sumatera Utara,14700.0
Sumatera Utara,14700.0
Sumatera Utara,14700.0
Sumatera Utara,14700.0
Sumatera Utara,14700.0
Sumatera Utara,14700.0
Sumatera Utara,14700.0
Sumatera Utara,14700.0
Sumatera Utara,14750.0
Sumatera Utara,14750.0
Sumatera Utara,14750.0
Sumatera Utara,14750.0
Sumatera Utara,14750.0
Sumatera Utara,11200.0
Sumatera Utara,11200.0
Sumatera Utara,11200.0
Sumatera Utara,11200.0
Sumatera Utara,11100.0
Sumatera Utara,11050.0
Sumatera Utara,11050.0
Sumatera Utara,11050.0
Sumatera Utara,11150.0
Sumatera Utara,11150.0
Sumatera Utara,11150.0
Sumatera Utara,11150.0
Sumatera Utara,11150.0
Sumatera Utara,11150.0
Sumatera Utara,11150.0
Sumatera Utara,11150.0
Sumatera Utara,11150.0
Sumatera Utara,11150.0
Sumatera Utara,10950.0
Sumatera Utara,10950.0
Sumatera Utara,12050.0
Sumatera Utara,12050.0
Sumatera Utara,12050.0
Sumatera Utara,12050.0
Sumatera Utara,11950.0
Sumatera Utara,11900.0
Sumatera Utara,11900.0
Sumatera Utara,11900.0
Sumatera Utara,12050.0
Sumatera Utara,12050.0
Sumatera Utara,12050.0
Sumatera Utara,12050.0
Sumatera Utara,12050.0
Sumatera Utara,12050.0
Sumatera Utara,12000.0
Sumatera Utara,12000.0
Sumatera Utara,12000.0
Sumatera Utara,12000.0
Sumatera Utara,11750.0
Sumatera Utara,11750.0
Sumatera Utara,12750.0
Sumatera Utara,12750.0
Sumatera Utara,12750.0
Sumatera Utara,12750.0
Sumatera Utara,12750.0
Sumatera Utara,12750.0
Sumatera Utara,12750.0
Sumatera Utara,12800.0
Sumatera Utara,12850.0
Sumatera Utara,12850.0
Sumatera Utara,12850.0
Sumatera Utara,12850.0
Sumatera Utara,12850.0
Sumatera Utara,12850.0
Sumatera Utara,12850.0
Sumatera Utara,12850.0
Sumatera Utara,12850.0
Sumatera Utara,12850.0
Sumatera Utara,12650.0
Sumatera Utara,12650.0
Sumatera Utara,13000.0
Sumatera Utara,13000.0
Sumatera Utara,13000.0
Sumatera Utara,13000.0
Sumatera Utara,13000.0
Sumatera Utara,13000.0
Sumatera Utara,13000.0
Sumatera Utara,13000.0
Sumatera Utara,13100.0
Sumatera Utara,13100.0
Sumatera Utara,13100.0
Sumatera Utara,13100.0
Sumatera Utara,13100.0
Sumatera Utara,13100.0
Sumatera Utara,13100.0
Sumatera Utara,13100.0
Sumatera Utara,13100.0
Sumatera Utara,13100.0
Sumatera Utara,12950.0
Sumatera Utara,12950.0
Sumatera Utara,13450.0
Sumatera Utara,13450.0
Sumatera Utara,13450.0
Sumatera Utara,13450.0
Sumatera Utara,13450.0
Sumatera Utara,13450.0
Sumatera Utara,13450.0
Sumatera Utara,13450.0
Sumatera Utara,13550.0
Sumatera Utara,13550.0
Sumatera Utara,13550.0
Sumatera Utara,13550.0
Sumatera Utara,13550.0
Sumatera Utara,13550.0
Sumatera Utara,13550.0
Sumatera Utara,13550.0
Sumatera Utara,13550.0
Sumatera Utara,13550.0
Sumatera Utara,13500.0
Sumatera Utara,13500.0
Sumatera Utara,13750.0
Sumatera Utara,13750.0
Sumatera Utara,13750.0
Sumatera Utara,13700.0
Sumatera Utara,13700.0
Sumatera Utara,13700.0
Sumatera Utara,13700.0
Sumatera Utara,13700.0
Sumatera Utara,13800.0
Sumatera Utara,13800.0
Sumatera Utara,13800.0
Sumatera Utara,13800.0
Sumatera Utara,13800.0
Sumatera Utara,13800.0
Sumatera Utara,13800.0
Sumatera Utara,13800.0
Sumatera Utara,13800.0
Sumatera Utara,13800.0
Sumatera Utara,13800.0
Sumatera Utara,13800.0
Sumatera Utara,31900.0
Sumatera Utara,32050.0
Sumatera Utara,32050.0
Sumatera Utara,32100.0
Sumatera Utara,32650.0
Sumatera Utara,32600.0
Sumatera Utara,32450.0
Sumatera Utara,32400.0
Sumatera Utara,32250.0
Sumatera Utara,32300.0
Sumatera Utara,32400.0
Sumatera Utara,32450.0
Sumatera Utara,32250.0
Sumatera Utara,31800.0
Sumatera Utara,31650.0
Sumatera Utara,31700.0
Sumatera Utara,31700.0
Sumatera Utara,31600.0
Sumatera Utara,31400.0
Sumatera Utara,31650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,136650.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,117000.0
Sumatera Utara,114500.0
Sumatera Utara,114500.0
Sumatera Utara,31250.0
Sumatera Utara,31250.0
Sumatera Utara,31250.0
Sumatera Utara,31200.0
Sumatera Utara,31150.0
Sumatera Utara,31100.0
Sumatera Utara,31100.0
Sumatera Utara,30750.0
Sumatera Utara,30750.0
Sumatera Utara,30750.0
Sumatera Utara,30750.0
Sumatera Utara,30750.0
Sumatera Utara,30750.0
Sumatera Utara,30750.0
Sumatera Utara,30750.0
Sumatera Utara,30750.0
Sumatera Utara,30750.0
Sumatera Utara,30600.0
Sumatera Utara,30450.0
Sumatera Utara,30450.0
Sumatera Utara,36150.0
Sumatera Utara,36350.0
Sumatera Utara,36350.0
Sumatera Utara,36400.0
Sumatera Utara,36750.0
Sumatera Utara,36750.0
Sumatera Utara,37550.0
Sumatera Utara,37450.0
Sumatera Utara,37400.0
Sumatera Utara,37400.0
Sumatera Utara,37150.0
Sumatera Utara,37150.0
Sumatera Utara,37150.0
Sumatera Utara,35750.0
Sumatera Utara,35650.0
Sumatera Utara,35550.0
Sumatera Utara,35300.0
Sumatera Utara,35000.0
Sumatera Utara,34200.0
Sumatera Utara,34400.0
Sumatera Utara,28100.0
Sumatera Utara,28300.0
Sumatera Utara,28200.0
Sumatera Utara,28250.0
Sumatera Utara,28150.0
Sumatera Utara,28300.0
Sumatera Utara,28050.0
Sumatera Utara,28050.0
Sumatera Utara,28150.0
Sumatera Utara,28150.0
Sumatera Utara,28150.0
Sumatera Utara,28250.0
Sumatera Utara,28250.0
Sumatera Utara,28550.0
Sumatera Utara,28550.0
Sumatera Utara,28900.0
Sumatera Utara,28700.0
Sumatera Utara,28900.0
Sumatera Utara,29400.0
Sumatera Utara,29300.0
Sumatera Utara,46100.0
Sumatera Utara,46050.0
Sumatera Utara,49900.0
Sumatera Utara,46400.0
Sumatera Utara,45800.0
Sumatera Utara,44850.0
Sumatera Utara,43500.0
Sumatera Utara,43900.0
Sumatera Utara,40850.0
Sumatera Utara,40600.0
Sumatera Utara,41250.0
Sumatera Utara,42650.0
Sumatera Utara,41900.0
Sumatera Utara,43100.0
Sumatera Utara,44750.0
Sumatera Utara,46150.0
Sumatera Utara,46250.0
Sumatera Utara,46450.0
Sumatera Utara,43300.0
Sumatera Utara,43000.0
Sumatera Utara,43950.0
Sumatera Utara,44100.0
Sumatera Utara,44850.0
